,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9600877,0.0,0.960910568764132,AIBR,156,1,SDQL,"['AIBR', 'RIAL']"
1,9600874,0.0,0.9358215785860526,AIBR,156,1,SDQL,['AIBR']
2,9600866,0.0,0.9462223869113183,AIBR,156,1,SDQL,"['RIML', 'AIBR']"
3,9599836,0.0,0.6347729271037817,AIBR,156,1,RIBL,['AIBR']
4,9599735,0.0282614627661271,0.8490739632876246,AIBR,156,1,PVPL,"['AVBR', 'AIBR']"
5,9599729,0.0,0.7871452723947182,AIBR,156,1,PVPL,['AIBR']
6,9599724,0.0,0.7900914255120682,AIBR,156,1,PVPL,"['AVBR', 'RIML', 'AIBR']"
7,9598458,0.0,0.2402875038286133,AIBR,156,1,ASHR,"['AIAR', 'AIBR']"
8,9598183,0.0,0.28538302366737217,AIBR,156,1,AIZR,"['AIBR', 'AIAR']"
9,9598140,0.0,0.32752779921375946,AIBR,156,1,AIZR,"['AIBR', 'AIAR', 'ASEL']"
10,9598135,0.0,0.38535625413765534,AIBR,156,1,AIZR,"['AIBR', 'AIAR', 'AWCR']"
11,9598122,0.0,0.8838808486585964,AIBR,156,1,AIZL,"['SMDDL', 'RIML', 'AIBR']"
12,9598093,0.0,0.915965145879084,AIBR,156,1,AIZL,"['RIML', 'AIBR']"
13,9597902,0.0,0.5033763490951382,AIBR,156,0,AIBR,"['AVEL', 'AVDR']"
14,9597896,0.0,0.7374391755925546,AIBR,156,0,AIBR,['AVBR']
15,9597891,0.0,0.7409692635631959,AIBR,156,0,AIBR,"['RIML', 'RIBL', 'AVBR']"
16,9597887,0.0,0.777515986178417,AIBR,156,0,AIBR,['SIADL']
17,9597882,0.0,0.8079079223887882,AIBR,156,0,AIBR,"['AVBR', 'RIML']"
18,9597877,0.0,0.8782207844680026,AIBR,156,0,AIBR,"['SMDDL', 'RIMR', 'RIVR']"
19,9597874,0.0,0.9285143247924453,AIBR,156,0,AIBR,['AIBL']
20,9597870,0.0,0.9287235916330951,AIBR,156,0,AIBR,"['RIML', 'SMDDL']"
21,9597867,0.0,0.9406456186611237,AIBR,156,0,AIBR,"['AIZL', 'AVER']"
22,9597864,0.0,0.946077469978737,AIBR,156,0,AIBR,['SDQL']
23,9597860,0.0,0.981077230573045,AIBR,156,0,AIBR,"['RIML', 'AVBR']"
24,9597781,0.0,0.08447378793428896,AIBR,156,1,AIAR,['AIBR']
25,9597776,0.0,0.17173919266328042,AIBR,156,1,AIAR,['AIBR']
26,9597767,0.0,0.29630360007816064,AIBR,156,1,AIAR,['AIBR']
27,9597759,0.015824974010311226,0.41099674382021756,AIBR,156,1,AIAR,"['AIBR', 'AWCR']"
28,9597756,0.0,0.4298224226015758,AIBR,156,1,AIAR,"['AIBL', 'AIBR']"
29,9597632,0.0,0.19709410462274868,AIBR,156,1,ADLR,"['AVDL', 'AIBR']"
30,9597625,0.0,0.28416991906725286,AIBR,156,1,ADLR,"['AIBR', 'AWCR']"
31,9597617,0.0,0.3618431592558434,AIBR,156,1,ADLR,"['AWCR', 'AIBR']"
32,9596818,0.0,0.1757777640745068,AIBR,156,1,RIPR,"['AIBR', 'AIAR']"
33,9596811,0.007366658325171115,0.41099674382021756,AIBR,156,1,RIPR,"['AIAR', 'AIBR']"
34,9595762,0.0,0.6293963868868289,AIBR,156,1,DVC,"['RIGL', 'AIBR']"
35,9595646,0.0,0.2363783958147504,AIBR,156,1,AWCR,"['ASER', 'AIBR']"
36,9595629,0.0,0.12505706549870188,AIBR,156,1,AWCR,"['AIAR', 'AIBR']"
37,9595597,0.0,0.42315827683590457,AIBR,156,1,AWCR,"['AIBL', 'AIBR']"
38,9595594,0.0,0.4228221227785325,AIBR,156,1,AWCL,['AIBR']
39,9595482,0.0,0.41490760742646304,AIBR,156,1,AWAR,['AIBR']
40,9595420,0.0,0.9144532989169112,AIBR,156,1,AVKR,"['AIBR', 'AVER']"
41,9595029,0.0,0.32421046596030534,AIBR,156,1,ASER,"['AIBR', 'AIAR']"
42,9594954,0.0,0.13796933844047024,AIBR,156,1,AIMR,"['AIAR', 'AIBR']"
