,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9598142,9598140,0.0,0.8378705026348175,ASEL,156,1,AIZR,"['AIBR', 'AIAR', 'ASEL']"
1,9597951,9597948,0.0,0.9316639574853778,ASEL,156,1,AINL,"['ASEL', 'RMFR']"
2,9597701,9597935,0.004683169279276721,0.966960126457967,ASEL,156,1,AINL,"['AUAR', 'ASEL']"
3,9597928,9597927,0.016936750008228873,0.6636300747131717,ASEL,156,1,AINL,['ASEL']
4,9597606,9597604,0.0,0.41134046034904526,ASEL,156,1,ADLL,"['ASKL', 'ASEL']"
5,9597593,9597592,0.0,0.3125975456688604,ASEL,156,1,ADLL,['ASEL']
6,9206807,9595468,0.0,0.15495113773603497,ASEL,156,1,AWAL,"['RIPL', 'ASEL']"
7,9595008,9595007,0.008288075347687824,0.9260731323990842,ASEL,156,0,ASEL,['AIYR']
8,9595003,9595004,0.0,0.16390590400404184,ASEL,156,0,ASEL,"['AIBL', 'AIYL']"
9,9595001,9595000,0.0,0.1879751002216941,ASEL,156,0,ASEL,['AIYL']
10,9594998,9594997,0.0,0.2236666351464235,ASEL,156,0,ASEL,['AIYL']
11,9594996,9594995,0.0,0.34498697052436594,ASEL,156,0,ASEL,['AIYL']
12,9594989,9594988,0.0,0.3982648008308687,ASEL,156,0,ASEL,['AWAL']
13,9594986,9594985,0.0,0.4940020617609944,ASEL,156,0,ASEL,['AIBL']
14,9594975,9594977,0.0,0.8537936708488812,ASEL,156,0,ASEL,['RIAR']
0,9598142,9598140,0.0,0.8378705026348175,ASEL,156,1,AIZR,"['AIBR', 'AIAR', 'ASEL']"
1,9597951,9597948,0.0,0.9316639574853778,ASEL,156,1,AINL,"['ASEL', 'RMFR']"
2,9597701,9597935,0.004683169279276721,0.966960126457967,ASEL,156,1,AINL,"['AUAR', 'ASEL']"
3,9597928,9597927,0.016936750008228873,0.6636300747131717,ASEL,156,1,AINL,['ASEL']
4,9597606,9597604,0.0,0.41134046034904526,ASEL,156,1,ADLL,"['ASKL', 'ASEL']"
5,9597593,9597592,0.0,0.3125975456688604,ASEL,156,1,ADLL,['ASEL']
6,9206807,9595468,0.0,0.15495113773603497,ASEL,156,1,AWAL,"['RIPL', 'ASEL']"
7,9595008,9595007,0.008288075347687824,0.9260731323990842,ASEL,156,0,ASEL,['AIYR']
8,9595003,9595004,0.0,0.16390590400404184,ASEL,156,0,ASEL,"['AIBL', 'AIYL']"
9,9595001,9595000,0.0,0.1879751002216941,ASEL,156,0,ASEL,['AIYL']
10,9594998,9594997,0.0,0.2236666351464235,ASEL,156,0,ASEL,['AIYL']
11,9594996,9594995,0.0,0.34498697052436594,ASEL,156,0,ASEL,['AIYL']
12,9594989,9594988,0.0,0.3982648008308687,ASEL,156,0,ASEL,['AWAL']
13,9594986,9594985,0.0,0.4940020617609944,ASEL,156,0,ASEL,['AIBL']
14,9594975,9594977,0.0,0.8537936708488812,ASEL,156,0,ASEL,['RIAR']
