,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601876,0.0,0.725362544334409,AVAL,156,1,URYVR,['AVAL']
1,9601844,0.13580363908503554,0.16904652953152915,AVAL,156,1,URYVL,"['AVAL', 'AVDR']"
2,9601787,0.036729842083099214,0.2319776709229363,AVAL,156,1,URYDL,"['AVAL', 'AVDL']"
3,9599841,0.0,0.10305144320477597,AVAL,156,1,RIBL,"['BAGR', 'AVAL']"
4,9599838,0.0254126779393579,0.11460249436259598,AVAL,156,1,RIBL,['AVAL']
5,9599718,0.053373090476466344,0.16904652953152915,AVAL,156,1,PVPL,"['AVBL', 'AVAL']"
6,9599584,0.06435210092626815,0.16904652953152915,AVAL,156,1,PVCL,"['AVAL', 'AVBL']"
7,9599429,0.03006914507646716,0.8805221952258709,AVAL,156,1,FLPR,['AVAL']
8,9599428,0.020434800579241755,0.8805221952258709,AVAL,156,1,FLPR,"['AVAR', 'AVAL']"
9,9599420,0.0,0.8734285563288137,AVAL,156,1,FLPR,"['AVAL', 'AVAR']"
10,9599401,0.0,0.8667823567630523,AVAL,156,1,FLPL,"['AVAR', 'AVAL']"
11,9599396,0.025978233840511976,0.8805221952258709,AVAL,156,1,FLPL,"['AVAR', 'AVAL']"
12,9599392,0.0,0.8926086278596572,AVAL,156,1,FLPL,"['AVAL', 'AVAR']"
13,9599340,0.0,0.7471925777728999,AVAL,156,1,DVA,['AVAL']
14,9599326,0.024995995566903934,0.16904652953152915,AVAL,156,1,DVA,['AVAL']
15,9598978,0.07116581726784087,0.16904652953152915,AVAL,156,1,AVJR,"['AVAL', 'AVBL']"
16,9598949,0.10219894063805181,0.16904652953152915,AVAL,156,1,AVJR,"['AVAL', 'AVBL']"
17,9598924,0.04777592334916497,0.21575072574164536,AVAL,156,1,AVJL,"['AVAL', 'AVDL']"
18,9598879,0.07612074382968928,0.16904652953152915,AVAL,156,1,AVHR,"['AVAL', 'PVCL']"
19,9598404,0.0846138224643304,0.16904652953152915,AVAL,156,1,ASHL,"['ADAL', 'AVAL']"
20,9598401,0.06867698694337726,0.16904652953152915,AVAL,156,1,ASHL,['AVAL']
21,9598319,0.056029106658404985,0.16904652953152915,AVAL,156,1,AQR,"['AVAL', 'PVCL']"
22,9597608,0.12253470914713906,0.16904652953152915,AVAL,156,1,ADLL,['AVAL']
23,9597401,0.0,0.7623191287776726,AVAL,156,1,SAAVL,"['SMDDR', 'AVAL']"
24,9597397,0.0,0.6977660740510236,AVAL,156,1,SAAVL,"['RIMR', 'AVAL']"
25,9597388,0.0,0.6433603279144973,AVAL,156,1,SAAVL,"['AVAL', 'RIMR']"
26,9597385,0.0,0.5394524160223336,AVAL,156,1,SAAVL,['AVAL']
27,9597344,0.0,0.2151537406122115,AVAL,156,1,SAADR,"['AVAL', 'RMGL']"
28,9597340,0.0,0.42750398065817513,AVAL,156,1,SAADL,"['RIMR', 'AVAL']"
29,9596733,0.11471820914265296,0.16904652953152915,AVAL,156,1,ADAL,"['AVDR', 'AVAL', 'AVBL']"
30,9596699,0.09247866532136456,0.16904652953152915,AVAL,156,1,ADAL,"['AVAL', 'AVBL', 'AVJR', 'AVDR']"
31,9596697,0.08763483019028674,0.16904652953152915,AVAL,156,1,ADAL,['AVAL']
32,9596687,0.0,0.22302436519516913,AVAL,156,1,ADAL,"['AVJR', 'AVAL']"
33,9595738,0.0,0.8551200704692798,AVAL,156,1,DVC,['AVAL']
34,9595728,0.0,0.8845049376000192,AVAL,156,1,DVC,"['AVAR', 'AVAL']"
35,9595686,0.0,0.10693116559511201,AVAL,156,1,BAGR,['AVAL']
36,9595100,0.0,0.9386468367919785,AVAL,156,1,ADER,['AVAL']
37,9594927,0.11205407022764877,0.16904652953152915,AVAL,156,1,AIML,"['AVAL', 'AVBL']"
