,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9599306,9599305,0.160424841054098,0.6067668601818145,CEPVR,156,0,CEPVR,['URBR']
1,9599298,9599297,0.0,0.7827160481428856,CEPVR,156,0,CEPVR,"['OLLR', 'AVEL']"
2,9599295,9599294,0.0,0.7981110133014336,CEPVR,156,0,CEPVR,['OLLR']
3,9597035,9599291,0.04412299520221211,0.6067668601818145,CEPVR,156,0,CEPVR,"['RICR', 'RICL']"
4,9599289,9599288,0.0,0.5515015082341241,CEPVR,156,0,CEPVR,['SIAVR']
5,9599284,9599283,0.0,0.5367991467370885,CEPVR,156,0,CEPVR,"['RMHR', 'RICR', 'RICL']"
6,9598256,9598254,0.0,0.44200831219352327,CEPVR,156,1,ALMR,"['AVBL', 'AVDL', 'AVBR', 'CEPVR']"
7,9598250,9598248,0.08265853951909696,0.5862474124648953,CEPVR,156,1,ALMR,['CEPVR']
8,9596605,9596603,0.0,0.5278494078687274,CEPVR,156,1,RICR,['CEPVR']
9,9596105,9596103,0.0,0.18524903444342647,CEPVR,156,1,IL2VR,['CEPVR']
0,9599306,9599305,0.160424841054098,0.6067668601818145,CEPVR,156,0,CEPVR,['URBR']
1,9599298,9599297,0.0,0.7827160481428856,CEPVR,156,0,CEPVR,"['OLLR', 'AVEL']"
2,9599295,9599294,0.0,0.7981110133014336,CEPVR,156,0,CEPVR,['OLLR']
3,9597035,9599291,0.04412299520221211,0.6067668601818145,CEPVR,156,0,CEPVR,"['RICR', 'RICL']"
4,9599289,9599288,0.0,0.5515015082341241,CEPVR,156,0,CEPVR,['SIAVR']
5,9599284,9599283,0.0,0.5367991467370885,CEPVR,156,0,CEPVR,"['RMHR', 'RICR', 'RICL']"
6,9598256,9598254,0.0,0.44200831219352327,CEPVR,156,1,ALMR,"['AVBL', 'AVDL', 'AVBR', 'CEPVR']"
7,9598250,9598248,0.08265853951909696,0.5862474124648953,CEPVR,156,1,ALMR,['CEPVR']
8,9596605,9596603,0.0,0.5278494078687274,CEPVR,156,1,RICR,['CEPVR']
9,9596105,9596103,0.0,0.18524903444342647,CEPVR,156,1,IL2VR,['CEPVR']
0,9599306,9599305,0.160424841054098,0.6067668601818145,CEPVR,156,0,CEPVR,['URBR']
1,9599298,9599297,0.0,0.7827160481428856,CEPVR,156,0,CEPVR,"['OLLR', 'AVEL']"
2,9599295,9599294,0.0,0.7981110133014336,CEPVR,156,0,CEPVR,['OLLR']
3,9597035,9599291,0.04412299520221211,0.6067668601818145,CEPVR,156,0,CEPVR,"['RICR', 'RICL']"
4,9599289,9599288,0.0,0.5515015082341241,CEPVR,156,0,CEPVR,['SIAVR']
5,9599284,9599283,0.0,0.5367991467370885,CEPVR,156,0,CEPVR,"['RMHR', 'RICR', 'RICL']"
6,9598256,9598254,0.0,0.44200831219352327,CEPVR,156,1,ALMR,"['AVBL', 'AVDL', 'AVBR', 'CEPVR']"
7,9598250,9598248,0.08265853951909696,0.5862474124648953,CEPVR,156,1,ALMR,['CEPVR']
8,9596605,9596603,0.0,0.5278494078687274,CEPVR,156,1,RICR,['CEPVR']
9,9596105,9596103,0.0,0.18524903444342647,CEPVR,156,1,IL2VR,['CEPVR']
