,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9600880,0,0.45245139739337237,IL1L,156,1,SDQL,"['IL1L', 'AVEL']"
1,9597286,0,0.8029855503148181,IL1L,156,0,IL1L,['RMHR']
2,9597031,0,0.6651848696679616,IL1L,156,1,RMDR,"['IL1L', 'RMDL']"
3,9595879,0,0.9577298630008905,IL1L,156,0,IL1L,['RMHR']
4,9595876,0,0.9863945082684411,IL1L,156,0,IL1L,['URADL']
5,9595873,0,0.8305259967308383,IL1L,156,0,IL1L,['RMHR']
6,9595870,0,0.8311307855940222,IL1L,156,0,IL1L,['RMDR']
7,9595867,0,0.8131878146829489,IL1L,156,0,IL1L,['RMDR']
8,9595864,0,0.6413852788920862,IL1L,156,0,IL1L,['RMDR']
9,9595861,0,0.6258135711371221,IL1L,156,0,IL1L,['RMDL']
10,9595858,0,0.6103259647570562,IL1L,156,0,IL1L,['RICR']
11,9595855,0,0.5874391734919997,IL1L,156,0,IL1L,['URBL']
12,9595852,0,0.5860972674876679,IL1L,156,0,IL1L,['RICL']
13,9595850,0,0.5581114074506754,IL1L,156,0,IL1L,['RICL']
14,9595849,0,0.5395512083651647,IL1L,156,0,IL1L,['URXL']
