,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601724,0.0,0.05890904050566006,RIAR,156,1,URXR,"['RIAR', 'AUAR']"
1,9601498,0.0,0.9338718266023852,RIAR,156,1,SMDVR,"['RIAR', 'RIAL']"
2,9601494,0.0,0.9525818831634378,RIAR,156,1,SMDVR,"['RIAR', 'RIAL']"
3,9601429,0.0,0.5002170911551513,RIAR,156,1,SMDVL,"['RIAR', 'RIAL']"
4,9601424,0.0,0.48534968235493064,RIAR,156,1,SMDVL,"['RIAR', 'RIAL']"
5,9601420,0.0,0.9993482223171487,RIAR,156,1,SMDVL,"['RIAR', 'RIAL']"
6,9601416,0.0,0.45535628163863834,RIAR,156,1,SMDVL,"['SMDDR', 'RIAR']"
7,9601373,0.006197864453348758,0.7244614766159428,RIAR,156,1,SMDDR,['RIAR']
8,9601364,0.008484561581894841,0.771695414298713,RIAR,156,1,SMDDR,['RIAR']
9,9601318,0.0,0.7441660133912622,RIAR,156,1,SMDDL,"['SMDVR', 'RIAR']"
10,9601316,0.006959569954385273,0.6764515544295481,RIAR,156,1,SMDDL,['RIAR']
11,9600343,0.0,0.9965924345134025,RIAR,156,1,RIVR,['RIAR']
12,9600338,0.0,0.9666671474609333,RIAR,156,1,RIVR,"['SIAVL', 'SMDDL', 'RIAR']"
13,9600332,0.0,0.9390109891812352,RIAR,156,1,RIVR,"['SIAVL', 'RIAR']"
14,9600193,0.0,0.43450308790928194,RIAR,156,1,RIS,"['SMDVL', 'RMDDR', 'RIAR']"
15,9600039,0.0,0.3072882344527784,RIAR,156,1,RIH,"['AIZR', 'RIAR']"
16,9600036,0.0,0.25367679883260746,RIAR,156,1,RIH,"['AIZR', 'RIAR']"
17,9600024,0.0,0.22089389275535615,RIAR,156,1,RIH,"['RIBR', 'RIAR']"
18,9599886,0.0,0.2437426685896194,RIAR,156,1,RIBR,"['RIAR', 'AUAR']"
19,9599883,0.0,0.18497772501126591,RIAR,156,1,RIBR,['RIAR']
20,9598726,0.0,0.12389318588309854,RIAR,156,1,AUAR,"['RIAR', 'RIBR']"
21,9598722,0.0,0.06899338446987562,RIAR,156,1,AUAR,"['AVAR', 'RIAR']"
22,9598712,0.0,0.19453835750735962,RIAR,156,1,AUAR,"['URXR', 'RIAR', 'RIBR']"
23,9598708,0.0,0.185796135479135,RIAR,156,1,AUAR,"['URXR', 'RIAR']"
24,9598705,0.0,0.06055196304946885,RIAR,156,1,AUAR,"['RIAR', 'AVAR']"
25,9598477,0.0,0.3647775576325435,RIAR,156,1,ASHR,['RIAR']
26,9598299,0.0,0.02083686350698757,RIAR,156,1,ALNR,"['SAAVR', 'RIAR']"
27,9598173,0.0,0.33513875632478846,RIAR,156,1,AIZR,['RIAR']
28,9598164,0.009882576164112212,0.3519921459563081,RIAR,156,1,AIZR,"['RIAR', 'SMBVR']"
29,9598152,0.009664317281108455,0.2772551989045359,RIAR,156,1,AIZR,"['SMBDR', 'RIAR', 'SMBVR']"
30,9598149,0.0,0.2659502720576856,RIAR,156,1,AIZR,['RIAR']
31,9598056,0.0,0.34098675507292503,RIAR,156,1,AIYR,"['AIZL', 'AIZR', 'RIAR']"
32,9598055,0.0,0.29893590771056583,RIAR,156,1,AIYR,"['AIZR', 'RIAR', 'RIBR']"
33,9598050,0.002510082595084096,0.2772551989045359,RIAR,156,1,AIYR,"['AIZR', 'RIBR', 'RIAR']"
34,9597075,0.0,0.9169863466633316,RIAR,156,1,RMDR,"['RMDL', 'RIAR']"
35,9597036,0.0,0.8382303564872567,RIAR,156,1,RMDR,"['RIAR', 'RIAL']"
36,9596946,0.0,0.4616168236436639,RIAR,156,1,RMDDR,['RIAR']
37,9596878,0.0,0.20518435598639245,RIAR,156,1,RIR,"['RIAR', 'URXR']"
38,9596508,0.008537351463106224,0.6764515544295481,RIAR,156,0,RIAR,"['RMDVR', 'RMDDL']"
39,9596504,0.0008443198906966574,0.7244614766159428,RIAR,156,0,RIAR,"['SMDDR', 'SMDVR', 'SIADL']"
