,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9600866,0.0,0.1547078834251156,RIML,156,1,SDQL,"['RIML', 'AIBR']"
1,9600110,0.005754881176884648,0.9858245127616848,RIML,156,0,RIML,['SMDDR']
2,9600107,0.006830747455498264,0.6298206987249335,RIML,156,0,RIML,['SMDDL']
3,9600103,0.00630491810468622,0.891557809459015,RIML,156,0,RIML,"['BWMVR04', 'RMDR']"
4,9600094,0.0,0.10585365665264798,RIML,156,0,RIML,"['AVBL', 'AVBR']"
5,9600078,0.0,0.1806084630116917,RIML,156,0,RIML,['SAAVR']
6,9600074,0.0,0.34770902262319014,RIML,156,0,RIML,"['RIBL', 'AVBR']"
7,9600071,0.0,0.899765439166806,RIML,156,0,RIML,"['RMDL', 'SMDVL']"
8,9599992,0.005194796115760958,0.518495932790878,RIML,156,1,RIH,['RIML']
9,9599724,0.0,0.264767884383693,RIML,156,1,PVPL,"['AVBR', 'RIML', 'AIBR']"
10,9599597,0.0,0.10239920239461071,RIML,156,1,PVCL,['RIML']
11,9599320,0.0,0.20214486624949135,RIML,156,1,DVA,"['SAADL', 'RIML', 'AVER']"
12,9599308,0.0,0.19452600474259318,RIML,156,1,DVA,"['RIML', 'SAADL', 'AIZL']"
13,9599078,0.016305118812100332,0.08449116022698691,RIML,156,1,BDUL,['RIML']
14,9599046,0.03543845730723009,0.08449116022698691,RIML,156,1,AVM,"['RIML', 'AVJR', 'PVCL']"
15,9599039,0.0,0.09441889903889561,RIML,156,1,AVM,"['RIML', 'AVBL']"
16,9598122,0.0,0.20214486624949135,RIML,156,1,AIZL,"['SMDDL', 'RIML', 'AIBR']"
17,9598117,0.0,0.06977477354048825,RIML,156,1,AIZL,"['RIML', 'SMBVL']"
18,9598093,0.0,0.18336897214905196,RIML,156,1,AIZL,"['RIML', 'AIBR']"
19,9597891,0.0073163171020347055,0.3352533626823138,RIML,156,1,AIBR,"['RIML', 'RIBL', 'AVBR']"
20,9597882,0.0,0.24673616056075762,RIML,156,1,AIBR,"['AVBR', 'RIML']"
21,9597870,0.0,0.17270088857091537,RIML,156,1,AIBR,"['RIML', 'SMDDL']"
22,9597860,0.0,0.11298692822599936,RIML,156,1,AIBR,"['RIML', 'AVBR']"
23,9597529,0.0,0.07768961342569737,RIML,156,1,RIFL,"['AVBL', 'AVBR', 'RIML']"
24,9597522,0.0,0.12371138880104326,RIML,156,1,RIFL,"['AVJR', 'RIML', 'AVBL']"
25,9597520,0.0,0.12108662393321024,RIML,156,1,RIFL,['RIML']
26,9597505,0.03766556010776868,0.12723545755365379,RIML,156,1,RIFL,['RIML']
27,9597500,0.04356685829512501,0.12723545755365379,RIML,156,1,RIFL,"['RIML', 'ADAL']"
28,9597441,0.0,0.24200422207873384,RIML,156,1,SAAVR,"['AVAR', 'SMDDL', 'RIML']"
29,9597434,0.0,0.29489460900773107,RIML,156,1,SAAVR,"['RIML', 'AVAR']"
30,9597428,0.0,0.3719024494978137,RIML,156,1,SAAVR,"['RIML', 'AVAR']"
31,9597392,0.0,0.9137974395417344,RIML,156,1,SAAVL,['RIML']
32,9597348,0.0,0.4224683812463104,RIML,156,1,SAADR,"['RIML', 'SIBVR']"
33,9596737,0.0,0.12868922969120833,RIML,156,1,ADAL,['RIML']
34,9596712,0.03401738418451176,0.12723545755365379,RIML,156,1,ADAL,"['AVBL', 'RIML']"
35,9596708,0.0,0.19431478807105293,RIML,156,1,ADAL,"['RIML', 'AVAR']"
36,9596234,0.0,0.10625740542221929,RIML,156,1,PVNL_or_R,['RIML']
37,9595407,0.011272833545758304,0.6298206987249335,RIML,156,1,AVKR,"['RIML', 'SMDVR']"
