,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601506,0.1716675395991218,0.0,RMEL,156,1,URADL,"['RMEL', 'BWMDL02']"
1,9601652,0.19316776168405037,0.02500989103467643,RMEL,156,1,URBL,['RMEL']
2,9601556,0.0,0.41881268084231577,RMEL,156,1,URAVL,"['RMEL', 'BWMVL01']"
3,9600548,0.633752282042687,0.0,RMEL,156,0,RMEL,"['BWMDR02', 'BWMVR02']"
4,9600547,0.6798598824081311,0.0,RMEL,156,0,RMEL,"['BWMDR02', 'BWMVR02']"
5,9600539,0.7786993180206437,0.0,RMEL,156,0,RMEL,['ADER']
6,9600502,0.0,0.8657003940205403,RMEL,156,0,RMEL,"['BWMDR02', 'BWMVR02']"
7,9600495,0.0,0.9705800287762603,RMEL,156,0,RMEL,"['RMDR', 'BWMVR04']"
8,9597007,0.786584715146001,0.0,RMEL,156,1,RMDL,['RMEL']
9,9595998,0.02527624002995327,0.7882649932175101,RMEL,156,1,IL2R,['RMEL']
10,9595949,0.5088884088958312,0.0,RMEL,156,1,IL2DR,['RMEL']
11,9595928,0.06395820689740364,0.49583678705679285,RMEL,156,1,IL1VL,"['RMDDL', 'RMEL']"
12,9595919,0.0,0.3834639899920172,RMEL,156,1,IL1VL,"['RMEV', 'RMEL']"
13,9595124,0.0,0.9661141945535888,RMEL,156,1,ADER,"['RMDR', 'RMEL']"
14,9595120,0.7574086538478187,0.0,RMEL,156,1,ADER,"['RMEL', 'URBR']"
15,9595116,0.6980777790134957,0.0,RMEL,156,1,ADER,"['RMEL', 'RMDR']"
