,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601621,7.021307044061597,0.0,SAADR,156,1,URBL,"['SMBDR', 'SAADR']"
1,9601258,1.1241219055242686,0.0,SAADR,156,1,SMBVR,['SAADR']
2,9601254,0.6498959033071772,0.0,SAADR,156,1,SMBVR,['SAADR']
3,9601250,0.0,0.1182400786684187,SAADR,156,1,SMBVR,['SAADR']
4,9600262,1.4232860921885344,0.0,SAADR,156,1,RIVL,['SAADR']
5,9600252,0.6349597259580634,0.0,SAADR,156,1,RIVL,['SAADR']
6,9599570,0.0,0.2133898646802889,SAADR,156,1,PLNR,"['SMBVR', 'SAADR']"
7,9599563,0.06123188748756195,0.0,SAADR,156,1,PLNR,"['SAADR', 'SMBVR']"
8,9599560,0.9958540475000411,0.0,SAADR,156,1,PLNR,"['SAADR', 'SMBVR']"
9,9597360,1.3686344760056737,0.0,SAADR,156,0,SAADR,['RIVL']
10,9597348,6.373764421536965,0.0,SAADR,156,0,SAADR,"['RIML', 'SIBVR']"
11,9597344,6.720296745056157,0.0,SAADR,156,0,SAADR,"['AVAL', 'RMGL']"
12,9595366,2.246179803596356,0.0,SAADR,156,1,AVKL,['SAADR']
