,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601820,9601819,0,0.5203158477502988,URYDR,156,0,URYDR,"['AVDR', 'CEPDR']"
1,9601817,9601816,0,0.5401949440741121,URYDR,156,0,URYDR,"['AVDR', 'AVAR']"
2,9601808,9601807,0,0.5596579011627594,URYDR,156,0,URYDR,['AVDR']
3,9601804,9601803,0,0.8148820718633716,URYDR,156,0,URYDR,"['RIH', 'RIBR']"
4,9601801,9601800,0,0.8598730373098671,URYDR,156,0,URYDR,['SMDDL']
5,9601798,9601797,0,0.8627966504324306,URYDR,156,0,URYDR,"['IL2DR', 'RIH']"
6,9601795,9601794,0,0.8990472155843137,URYDR,156,0,URYDR,['RIH']
7,9600052,9600050,0,0.8461260352726383,URYDR,156,1,RIH,"['IL2DR', 'URYDR']"
8,9597954,9597953,0,0.32565384174684314,URYDR,156,1,AINR,['URYDR']
0,9601820,9601819,0,0.5203158477502988,URYDR,156,0,URYDR,"['AVDR', 'CEPDR']"
1,9601817,9601816,0,0.5401949440741121,URYDR,156,0,URYDR,"['AVDR', 'AVAR']"
2,9601808,9601807,0,0.5596579011627594,URYDR,156,0,URYDR,['AVDR']
3,9601804,9601803,0,0.8148820718633716,URYDR,156,0,URYDR,"['RIH', 'RIBR']"
4,9601801,9601800,0,0.8598730373098671,URYDR,156,0,URYDR,['SMDDL']
5,9601798,9601797,0,0.8627966504324306,URYDR,156,0,URYDR,"['IL2DR', 'RIH']"
6,9601795,9601794,0,0.8990472155843137,URYDR,156,0,URYDR,['RIH']
7,9600052,9600050,0,0.8461260352726383,URYDR,156,1,RIH,"['IL2DR', 'URYDR']"
8,9597954,9597953,0,0.32565384174684314,URYDR,156,1,AINR,['URYDR']
0,9601820,9601819,0,0.5203158477502988,URYDR,156,0,URYDR,"['AVDR', 'CEPDR']"
1,9601817,9601816,0,0.5401949440741121,URYDR,156,0,URYDR,"['AVDR', 'AVAR']"
2,9601808,9601807,0,0.5596579011627594,URYDR,156,0,URYDR,['AVDR']
3,9601804,9601803,0,0.8148820718633716,URYDR,156,0,URYDR,"['RIH', 'RIBR']"
4,9601801,9601800,0,0.8598730373098671,URYDR,156,0,URYDR,['SMDDL']
5,9601798,9601797,0,0.8627966504324306,URYDR,156,0,URYDR,"['IL2DR', 'RIH']"
6,9601795,9601794,0,0.8990472155843137,URYDR,156,0,URYDR,['RIH']
7,9600052,9600050,0,0.8461260352726383,URYDR,156,1,RIH,"['IL2DR', 'URYDR']"
8,9597954,9597953,0,0.32565384174684314,URYDR,156,1,AINR,['URYDR']
