,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9587633,0,0.24467016888350557,AVKR,161,1,RIS,"['SMDDR', 'RIML', 'AVKR']"
1,9587559,0,0.31649778149892227,AVKR,161,1,RIGR,"['DVC', 'AVKR', 'AVKL', 'PVT']"
2,9587545,0,0.6507001455438728,AVKR,161,1,RIGL,"['RMGL', 'DVC', 'AVKR']"
3,9585371,0,0.7517986352001963,AVKR,161,1,PVT,"['AVKR', 'AVKL']"
4,9585361,0,0.46376731677569955,AVKR,161,1,PVT,"['SAADL', 'AVEL', 'AVKR']"
5,9585360,0,0.33700024424986524,AVKR,161,1,PVT,"['AVKR', 'AVKL']"
6,9584903,0,0.3185440654174754,AVKR,161,0,AVKR,"['RMDR', 'RIML', 'SAADR']"
7,9584902,0,0.3945213511300952,AVKR,161,0,AVKR,['SAAVR']
8,9584901,0,0.5417500327147131,AVKR,161,0,AVKR,"['RIMR', 'SAADL']"
9,9584898,0,0.8491761131235153,AVKR,161,0,AVKR,"['AVER', 'RIML', 'AIBR']"
10,9584897,0,0.1942589642264729,AVKR,161,0,AVKR,"['RIVL', 'RIML']"
11,9584900,0,0.5961860613327861,AVKR,161,0,AVKR,"['SAAVL', 'RIMR']"
12,9584895,0,0.6455024118471709,AVKR,161,0,AVKR,"['RMDL', 'RMGL']"
13,9584878,0,0.6560414212857123,AVKR,161,1,AVKL,"['RMDL', 'RIMR', 'AVKR']"
