,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10592711,11441196,0.02617443022906126,0.030171374185532708,ASHL,186,1,AVFR,"['ASHL', 'AVBR']"
1,10592954,11441044,0.009200598769253537,0.39355119825700735,ASHL,186,1,AIML,"['ASHL', 'AVJR', 'AVDR']"
2,10592791,11441030,0.0,0.445876252207312,ASHL,186,1,ADLL,"['AIAL', 'ASHL']"
3,10592797,11439220,0.0,0.47433911587481975,ASHL,186,1,AWBL,"['ASHL', 'ADAL']"
4,10592961,11439080,0.03298525692301169,0.23008270777678705,ASHL,186,1,AWAL,"['ASHL', 'ADFL', 'AIZL']"
5,10592961,11439078,0.03298525692301169,0.23008270777678705,ASHL,186,1,AWAL,"['ADFL', 'ASHL']"
6,10592759,11439076,0.0,0.2926816890806314,ASHL,186,1,AWAL,"['AVBL', 'ASHL', 'AVJR']"
7,10592917,11439045,0.0,0.8960059584904513,ASHL,186,1,AVJR,"['AVDR', 'ASHL', 'AIMR']"
8,10592955,11439041,0.016598980060071458,0.39355119825700735,ASHL,186,1,AVJR,"['URYVL', 'ASHL', 'AVAL']"
9,10592867,11438925,0.0,0.7295038095533328,ASHL,186,1,ASKR,"['ASHL', 'ASKL', 'ASJR', 'AIML']"
10,10592939,11438906,0.0,0.9761450687429322,ASHL,186,1,ASJR,"['PVQR', 'ASHL']"
11,10592743,11438843,0.0,0.14602844053523975,ASHL,186,0,ASHL,"['AVDR', 'ADAL', 'AIAL', 'ADFL']"
12,10592767,11438842,0.0,0.32611486721993216,ASHL,186,0,ASHL,"['AIBL', 'AIAL']"
13,10592768,11438841,0.0,0.3297863952354954,ASHL,186,0,ASHL,['AIAL']
14,10592770,11438840,0.0,0.33403802355449463,ASHL,186,0,ASHL,"['ADLL', 'AIAL', 'AVDR']"
15,10592779,11438837,0.0,0.39355119825700735,ASHL,186,0,ASHL,"['AVDR', 'AVAL']"
16,10592779,11438836,0.0,0.39355119825700735,ASHL,186,0,ASHL,"['AVDR', 'AVAL']"
17,10592779,11438835,0.0,0.39355119825700735,ASHL,186,0,ASHL,"['AVDR', 'AVJR']"
18,10592779,11438834,0.0,0.39355119825700735,ASHL,186,0,ASHL,"['AVJR', 'AVDR']"
19,10592786,11438833,0.0,0.4234555896149937,ASHL,186,0,ASHL,"['AVDR', 'AVAL']"
20,10592792,11438832,0.0,0.45385280813844037,ASHL,186,0,ASHL,"['AVJR', 'AVAL']"
21,10592795,11438829,0.0,0.4693463251006383,ASHL,186,0,ASHL,"['AVFR', 'AVAL']"
22,10592799,11438828,0.0,0.4839737491231191,ASHL,186,0,ASHL,"['AIAL', 'AIML']"
23,10592825,11438827,0.009440817983584015,0.6056827500446275,ASHL,186,0,ASHL,['AVJL']
24,10592824,11438824,0.0,0.6056827500446275,ASHL,186,0,ASHL,"['AVAL', 'AVJR', 'AVAL']"
25,10592830,11438823,0.0,0.6186142852891416,ASHL,186,1,AVJR,"['ASHL', 'AVDL', 'AVAL', 'AVBL']"
26,10592830,11438822,0.0,0.6186142852891416,ASHL,186,0,ASHL,"['AVDL', 'AVJR', 'AVAL', 'AVBL']"
27,10592832,11438821,0.005123919820821249,0.6186142852891416,ASHL,186,0,ASHL,"['AIML', 'AVDL', 'AVJL']"
28,10592871,11438820,0.0,0.754314762946876,ASHL,186,0,ASHL,"['AIAR', 'RIPL', 'ASJR', 'ASKR']"
29,10592883,11438819,0.0,0.7928957544033274,ASHL,186,1,ASHR,"['ASHL', 'AVJR']"
30,10592881,11438818,0.0,0.7847816989831944,ASHL,186,0,ASHL,"['AVJR', 'ASHR']"
31,10592916,11438817,0.0,0.8923871906723851,ASHL,186,0,ASHL,"['AVAR', 'AVJR', 'AVDR']"
32,10592762,11438785,0.0,0.3063771834961958,ASHL,186,1,ASEL,"['ADAL', 'ASHL']"
33,10592779,11438311,0.0,0.39355119825700735,ASHL,186,1,AIML,"['AVAL', 'AVBL', 'RMGL', 'ASHL']"
34,10592788,11437933,0.0,0.43280747831884514,ASHL,186,1,AIAL,"['ASHL', 'AVAL', 'ADLL']"
35,10592769,11437928,0.0,0.3318921053355547,ASHL,186,1,AIAL,"['ASHL', 'AIBL']"
36,10592946,11437907,0.0,0.9977983769313753,ASHL,186,1,AIAR,"['ASHL', 'ASKR', 'AIBR']"
37,10592923,11437905,0.006191857053795243,0.9110989193147309,ASHL,186,1,AIAR,"['ADAR', 'AVAR', 'ASHL']"
38,10592773,11260582,0.0,0.35073314556696383,ASHL,186,1,PVQL,"['ASHL', 'ASKL', 'AIAL']"
39,10592927,10936173,0.0,0.9276204705833766,ASHL,186,1,largeunknownfragment,"['largeunknownfragment', 'AIMR', 'ASHL']"
40,10592873,10936171,0.0,0.7598844023166712,ASHL,186,1,largeunknownfragment,"['AVFL', 'ASHL', 'AIMR']"
41,10592917,10932404,0.0,0.8960059584904513,ASHL,186,0,ASHL,"['AVAR', 'AVDR']"
42,10592876,10932403,0.0,0.7718050217632046,ASHL,186,0,ASHL,['BDUL']
43,10592737,10932401,0.0,0.11768330649053486,ASHL,186,0,ASHL,['AVDR']
44,10592830,10932400,0.0,0.6186142852891416,ASHL,186,0,ASHL,['AVJL']
45,10592914,10932399,0.0,0.8781266240197716,ASHL,186,0,ASHL,"['AWBR', 'AVJR']"
46,10592917,10932395,0.0,0.8960059584904513,ASHL,186,0,ASHL,"['AVDR', 'AVJR']"
47,10592944,10932394,0.0,0.9919361696185328,ASHL,186,0,ASHL,['AIAR']
