,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10615376,10932489,0.0,0.5028302701788174,AWCL,186,1,AWCR,"['AWCL', 'AIBL', 'AIYL', 'ASER']"
1,10615282,11441048,0.0,0.2122082472729158,AWCL,186,1,AINR,"['RIBL', 'AWCL', 'BAGR']"
2,10615533,11440367,0.0,0.9835609379857758,AWCL,186,0,AWCL,['AIYR']
3,10615452,11439235,0.0,0.6463481140794843,AWCL,186,1,AWCR,"['AWCL', 'AIYR', 'RIR', 'AIZR']"
4,10615442,11439232,0.0,0.6283873042888023,AWCL,186,1,AWCR,"['AWCL', 'AIAR', 'AIBR']"
5,10615281,11439227,0.0,0.20467531450043416,AWCL,186,0,AWCL,"['RIR', 'AIYL']"
6,10615563,11439226,0.005078636712206717,0.27815559619809377,AWCL,186,0,AWCL,"['RIR', 'AIYL']"
7,10615502,11439225,0.0,0.8479638976160087,AWCL,186,0,AWCL,"['AWCR', 'AIYR']"
8,10615517,11439224,0.0,0.9115459175589786,AWCL,186,0,AWCL,['AIYR']
9,10615458,11438885,0.0,0.6588941363834576,AWCL,186,1,ASIR,"['AWCL', 'AWCR']"
10,10615313,11438878,0.0,0.31731877294337646,AWCL,186,1,ASIL,['AWCL']
11,10615515,11438813,0.0,0.9063391737979168,AWCL,186,1,ASIR,"['AWCL', 'ASGR']"
12,10615282,11438786,0.0,0.2122082472729158,AWCL,186,1,ASER,"['AWCL', 'AIYL', 'RIR']"
13,10615308,11438730,0.0,0.30787731779956545,AWCL,186,1,ALA,"['ASKL', 'AWCL']"
14,10615334,11438367,0.0,0.40112420067565596,AWCL,186,1,AIZL,"['AIBL', 'AWCL', 'AIAL']"
15,10615398,11437876,0.0,0.5471807938673713,AWCL,186,1,ADLR,"['AWCL', 'AIAR', 'ASKR']"
16,10615333,11437874,0.0,0.3979717593644222,AWCL,186,1,ADLL,"['AWCL', 'AIBL']"
17,10615375,11437872,0.0,0.5012248910633705,AWCL,186,1,ADLL,"['AWCL', 'AIBL', 'ASKL']"
18,10615308,11437867,0.0,0.30787731779956545,AWCL,186,1,ADLL,"['ASKL', 'AWCL', 'AIAL', 'AIBL']"
19,10615326,11437865,0.0,0.3657077672158738,AWCL,186,1,ADLL,"['AWCL', 'AIBL', 'AIAL']"
20,10615304,10932487,0.0,0.29544437995397593,AWCL,186,1,AWCR,"['AWCL', 'AIBL', 'AIAL']"
21,10615280,10932486,0.0,0.19610039511210417,AWCL,186,1,AWCR,"['AWCL', 'AIYL', 'RIR']"
22,10615310,11139491,0.0,0.31247751467240764,AWCL,186,0,AWCL,"['AIBL', 'AIYL']"
23,10615367,10932383,0.0,0.48333515617771705,AWCL,186,1,ASER,"['AWCL', 'AIBL', 'AIYL']"
24,10615284,10932355,0.0,0.22445751813904719,AWCL,186,1,AINR,"['AWCL', 'BAGR', 'ASER']"
25,10615422,10932491,0.0,0.5905102427039184,AWCL,186,1,AWCR,"['AIBR', 'AIAR', 'AWCL']"
26,10615540,10932484,0.0021307802711071793,0.7885688492137889,AWCL,186,0,AWCL,['AIYR']
27,10615244,10932483,0.0,0.07208811011405884,AWCL,186,0,AWCL,"['AIZL', 'AIYL']"
28,10615330,10932482,0.0,0.3919086677248911,AWCL,186,0,AWCL,"['AIYL', 'AWCR', 'AIZL']"
29,10615374,10932481,0.0,0.4987948456321387,AWCL,186,0,AWCL,"['AIYL', 'AIBL']"
30,10615398,10932480,0.0,0.5471807938673713,AWCL,186,0,AWCL,"['ASEL', 'AWCR', 'AIYR']"
31,10615462,10932479,0.0,0.6640660832284092,AWCL,186,0,AWCL,"['AIYR', 'RIR']"
32,10615487,10932478,0.0,0.7809540331430018,AWCL,186,0,AWCL,['AIYR']
33,10615562,10932318,0.0023633229548212383,0.27815559619809377,AWCL,186,1,AIAL,"['AWCR', 'AWCL', 'AIBL']"
