,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10639911,11440508,0.0,0.9379506104091593,IL2VR,186,1,RIH,"['IL2VR', 'IL2R']"
1,10587413,11440506,0.10178436950468492,0.3824851513288871,IL2VR,186,1,RIGR,"['IL2VR', 'RIGR', 'AQR']"
2,10587409,11440505,0.05952148776046958,0.3824851513288871,IL2VR,186,1,RIGR,['IL2VR']
3,10587272,11439999,0.0,0.36970445914186156,IL2VR,186,1,IL2R,"['DVA', 'IL2VR']"
4,10587393,11439494,0.0603966587827053,0.33294086901401326,IL2VR,186,1,DVC,"['IL2VR', 'AQR', 'RIAR', 'RIGR']"
5,10587272,11260125,0.0,0.36970445914186156,IL2VR,186,0,IL2VR,"['URAVR', 'RIGR']"
6,10587395,11260067,0.013560045425292436,0.36399063445037416,IL2VR,186,1,DVC,"['IL2R', 'IL2VR']"
7,10587404,10941751,0.06724896131630749,0.3824851513288871,IL2VR,186,1,RIGR,"['URYVR', 'IL2VR']"
8,10587410,10934525,0.07300726356477423,0.3824851513288871,IL2VR,186,0,IL2VR,['RIGR']
9,10587264,10934524,0.06985524876097587,0.4467241739426229,IL2VR,186,0,IL2VR,"['URYVR', 'AVAL', 'SAADR']"
10,10587398,10934519,0.014752548233849711,0.3824851513288871,IL2VR,186,1,IL2R,['IL2VR']
