,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,11440050,0.07923087409340318,0.6282334844765828,OLQDR,186,0,OLQDR,"['RMDDL', 'SIBVR']"
1,11440049,0.0,0.9092164724289833,OLQDR,186,0,OLQDR,"['RMDVR', 'OLLR', 'AVEL']"
2,11440048,0.0,0.9008692799303938,OLQDR,186,0,OLQDR,"['RMHL', 'URADR']"
3,11439641,0.07202681420234536,0.6282334844765828,OLQDR,186,1,CEPDR,"['OLQDR', 'SIADL', 'SMBDL', 'RICR']"
4,11439632,0.0,0.7082650579315842,OLQDR,186,0,OLQDR,"['RMDDL', 'SIBVR']"
5,10949982,0.0,0.8640389460389813,OLQDR,186,1,URADR,"['OLQDR', 'RMDVR', 'IL1R']"
6,10935486,0.056244345403909886,0.6282334844765828,OLQDR,186,0,OLQDR,"['RMDDL', 'SIBVR']"
7,10935485,0.0,0.6282334844765828,OLQDR,186,0,OLQDR,"['RMHR', 'RICR']"
8,10934599,0.0,0.6690194730076304,OLQDR,186,0,OLQDR,"['RMDDL', 'SIBVR']"
9,10934598,0.0,0.7082650579315842,OLQDR,186,0,OLQDR,"['IL1DR', 'RMDDL']"
10,10934596,0.0,0.97424208003861,OLQDR,186,0,OLQDR,"['OLLR', 'AVEL', 'RIBR']"
