,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10641160,11441091,0.024827359212613916,0.7730503502471398,RMFL,186,0,RMFL,"['RMDL', 'ALNR', 'RMGR']"
1,10626185,11440670,0.06550673102838915,0.8043937309831487,RMFL,186,1,RMHL,"['RMFL', 'RMDR']"
2,10626099,11440662,0.0,0.7857399428193989,RMFL,186,0,RMFL,"['RIS', 'AVKR']"
3,10625867,11440546,0.0,0.26037023017798844,RMFL,186,1,RIML,"['RMFL', 'SAAVR', 'SMDDL']"
4,10626179,11440443,0.05197285628861959,0.8043937309831487,RMFL,186,1,RMDL,"['RMDR', 'IL1R', 'RMFL']"
5,10626161,11440119,0.01134239669884378,0.8043937309831487,RMFL,186,0,RMFL,"['RMDR', 'AVKL', 'AVKR']"
6,10626113,11440118,0.0,0.8458398528211599,RMFL,186,1,PVT,"['AVBL', 'RMFL']"
7,10626256,11439642,0.061056261664153975,0.7587270096560542,RMFL,186,0,RMFL,"['RMDL', 'RMDR', 'RMHL']"
8,10626233,11439548,0.02363015537327479,0.7587270096560542,RMFL,186,1,RIAL,"['RMDL', 'RMFL', 'RMDR']"
9,10626180,11439535,0.05349443924418545,0.8043937309831487,RMFL,186,0,RMFL,"['RMDL', 'IL1R', 'RMDR']"
10,10626196,11439414,0.11665753369108496,0.8043937309831487,RMFL,186,1,CEPDR,"['RICR', 'CEPVR', 'RMFL']"
11,10626242,11439413,0.04385920509062072,0.7587270096560542,RMFL,186,1,CEPDR,"['RMHL', 'RMFL']"
12,10626248,11439298,0.08513404806325028,0.7587270096560542,RMFL,186,0,RMFL,"['RMHL', 'BWMDR02']"
13,10626248,11439297,0.08513404806325028,0.7587270096560542,RMFL,186,0,RMFL,"['BWMVR02', 'RMDR', 'RMHL']"
14,10625910,11439057,0.0,0.36809444765985083,RMFL,186,1,AVKR,"['RIVR', 'RIMR', 'RMFL']"
15,10625928,11438350,0.04824318227114702,0.39663830607131995,RMFL,186,1,AINR,"['BAGR', 'AVAL', 'RMFL', 'RIBL']"
16,10625884,11437039,0.0,0.30312985923493685,RMFL,186,1,SAAVR,"['AVAR', 'RIML', 'RMFL']"
17,10625857,11437037,0.0,0.21985824525998743,RMFL,186,1,SAAVR,"['RMFL', 'RIML', 'AVAR']"
18,10626214,10947797,0.07161867881540436,0.8043937309831487,RMFL,186,1,RMHL,"['RMDL', 'RMFL', 'IL1R', 'musclefragment13']"
19,10626257,11437013,0.06560774208932883,0.7587270096560542,RMFL,186,1,RMHL,"['RMFL', 'RMDR']"
20,10626214,11436645,0.07161867881540436,0.8043937309831487,RMFL,186,0,RMFL,"['BWMVR02', 'RMHL']"
21,10626215,11436643,0.0764716089431553,0.8043937309831487,RMFL,186,0,RMFL,"['RMHL', 'RMDR', 'BWMVR02']"
22,10626231,11260620,0.01921966304424826,0.7587270096560542,RMFL,186,1,RIAL,"['RMDL', 'BWMDR06', 'RMFL', 'RMDR']"
