,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,5067194,0.0,0.13305773990375594,AIZL,98,0,AIZL,"['SMBDL', 'RIAL', 'SMBVL']"
1,4509395,0.004197062554192003,0.5702375512188034,AIZL,98,1,ADFL,['AIZL']
2,4509394,0.0032500853719990255,0.5702375512188034,AIZL,98,1,ADFL,['AIZL']
3,4509274,0.0,0.9281976603330713,AIZL,98,1,ADFL,"['AUAL', 'AIZL', 'ADFR']"
4,4509273,0.0,0.9260517393421442,AIZL,98,1,ADFL,"['ADFR', 'AUAL', 'AIZL']"
5,4509272,0.0,0.9229713502113731,AIZL,98,1,ADFL,"['AIZL', 'AUAL']"
6,4509154,0.0,0.27744605195661987,AIZL,98,1,AWAL,"['AIZL', 'AWBL']"
7,4509153,0.0,0.2789513562494264,AIZL,98,1,AWAL,"['AIZL', 'AWBL']"
8,4509152,0.0,0.28333339840384697,AIZL,98,1,AWAL,['AIZL']
9,4509151,0.0,0.2843805006296407,AIZL,98,1,AWAL,"['AIZL', 'AWBL']"
10,4508628,0.009994368215487779,0.2504140784207004,AIZL,98,1,ADAL,"['AIZL', 'AIBR']"
11,4508627,0.013173368495109005,0.2504140784207004,AIZL,98,1,ADAL,"['AIZL', 'AIBR']"
12,4508189,0.0,0.39736066800502823,AIZL,98,1,AVHR,"['AWBL', 'AIZL', 'SMBVL']"
13,4508188,0.0,0.3981548856503612,AIZL,98,1,AVHR,"['AWBL', 'SMBVL', 'AIZL']"
14,4508180,0.031240562416752257,0.7936791053497881,AIZL,98,1,AVHR,"['AIZL', 'AWBL']"
15,4508179,0.030057502221000704,0.7936791053497881,AIZL,98,1,AVHR,"['AIZL', 'AWBL']"
16,4508178,0.028747396931498793,0.7936791053497881,AIZL,98,1,AVHR,"['AIZL', 'AWBL', 'ADFL']"
17,4508175,0.0068917077250845865,0.5457703067712565,AIZL,98,1,AVHR,"['URXL', 'AIZL']"
18,4507020,0.0,0.6957891686880417,AIZL,98,1,DVA,"['URYDL', 'AIZL']"
19,4507019,0.0,0.6943425591704082,AIZL,98,1,DVA,"['URYDL', 'AIZL', 'AVEL']"
20,4506880,0.0,0.19824864740853465,AIZL,98,0,AIZL,"['SMBVL', 'RIAL']"
21,4506879,0.0,0.20089046621603063,AIZL,98,0,AIZL,"['ADFL', 'SMBVL', 'RIAL']"
22,4506878,0.0,0.20326401198851238,AIZL,98,0,AIZL,['RIAL']
23,4503912,0.0,0.4909892490371419,AIZL,98,1,AIYL,"['AIZL', 'BAGR']"
24,4503911,0.0033964879509616494,0.4909892490371419,AIZL,98,1,AIYL,"['AIZL', 'BAGR']"
25,4503910,0.005115478310878788,0.4909892490371419,AIZL,98,1,AIYL,"['AIZL', 'BAGR']"
26,4503687,0.01966879712184992,0.4909892490371419,AIZL,98,1,AIYL,"['AIZL', 'BAGR']"
27,4503267,0.0,0.46727680141622574,AIZL,98,1,AWBL,"['AIZL', 'SMBVL']"
28,4503266,0.0,0.46387165642947686,AIZL,98,1,AWBL,"['AIZL', 'SMBVL']"
29,4503243,0.0,0.20590121536605085,AIZL,98,1,AWBL,"['AIZL', 'ADFL']"
30,4503242,0.0,0.20326401198851238,AIZL,98,1,AWBL,"['AIZL', 'ADFL']"
31,4503241,0.0,0.20089046621603063,AIZL,98,1,AWBL,"['AIZL', 'ADFL']"
32,4503240,0.0,0.19824864740853465,AIZL,98,1,AWBL,"['AIZL', 'ADFL']"
33,4503231,0.029300843137571957,0.5457703067712565,AIZL,98,1,AWBL,['AIZL']
34,4503230,0.03226888720977449,0.5457703067712565,AIZL,98,1,AWBL,['AIZL']
35,4503229,0.03550778635256029,0.5457703067712565,AIZL,98,1,AWBL,"['URXL', 'AIZL', 'ASHL']"
36,4503133,0.0,0.46727680141622574,AIZL,98,1,AWAL,"['AWBL', 'AIZL']"
37,4503132,0.0,0.46387165642947686,AIZL,98,1,AWAL,"['AWBL', 'AIZL']"
38,4503061,0.0,0.27164592998471343,AIZL,98,1,AWAL,"['AWBL', 'AIZL']"
39,4503051,0.005115478310878788,0.4909892490371419,AIZL,98,1,AWAL,['AIZL']
40,4503050,0.0033964879509616494,0.4909892490371419,AIZL,98,1,AWAL,['AIZL']
41,4503049,0.0,0.4909892490371419,AIZL,98,1,AWAL,['AIZL']
42,4503048,0.0,0.5013469654990629,AIZL,98,1,AWAL,['AIZL']
43,4503047,0.0,0.504097724085424,AIZL,98,1,AWAL,['AIZL']
44,4503046,0.0,0.509472294793602,AIZL,98,1,AWAL,['AIZL']
45,4503045,0.0,0.5150667689470843,AIZL,98,1,AWAL,['AIZL']
46,4503044,0.0,0.5208314106809958,AIZL,98,1,AWAL,['AIZL']
