,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4338935,4508307,0.0,0.05408139503236134,AVAL,98,1,AUAL,"['AVAL', 'RIAL']"
1,4338934,4499157,0.0,0.052016870728981215,AVAL,98,1,AIZL,"['AVAL', 'RIAL']"
2,4339283,4509305,0.0,0.9640036587379773,AVAL,98,1,ADER,['AVAL']
3,4339282,4509304,0.0,0.9609695531339799,AVAL,98,1,ADER,['AVAL']
4,4338948,4509303,0.027624025919797977,0.06768158293251332,AVAL,98,1,PVPL,"['AVAL', 'DVA']"
5,4338947,4509302,0.022417856120290344,0.06768158293251332,AVAL,98,1,PVPL,"['AVAL', 'DVA']"
6,4338946,4509301,0.019061458726186798,0.06768158293251332,AVAL,98,1,PVPL,"['AVAL', 'DVA']"
7,4339289,4509291,0.001897878603760327,0.99426664347566,AVAL,98,1,ADER,"['AVAL', 'AQR']"
8,4339290,4509290,0.003981176583157416,0.99426664347566,AVAL,98,1,ADER,"['AVAL', 'AQR']"
9,4339002,4508952,0.0,0.11669207362524986,AVAL,98,1,ADAL,"['AVBR', 'AVAL']"
10,4339001,4508951,0.0,0.11434483041182297,AVAL,98,1,ADAL,"['SAAVL', 'AVBR', 'AVAL']"
11,4338947,4508809,0.022417856120290344,0.06768158293251332,AVAL,98,1,DVA,['AVAL']
12,4338946,4508808,0.019061458726186798,0.06768158293251332,AVAL,98,1,DVA,['AVAL']
13,4338997,4508771,0.0,0.09579819317938673,AVAL,98,1,PVCR,"['AVAL', 'SIAVL']"
14,4338998,4508770,0.0,0.0998181291360058,AVAL,98,1,PVCR,"['AVAL', 'SIAVL']"
15,4339197,4508228,0.0,0.710537090833105,AVAL,98,1,SAAVL,"['SMDDR', 'AVAL', 'RIMR']"
16,4339196,4508227,0.0,0.7099073661477907,AVAL,98,1,SAAVL,"['RIMR', 'AVAL']"
17,4339223,4508019,0.0,0.8063076620078352,AVAL,98,1,SAAVL,['AVAL']
18,4339224,4508015,0.0,0.8083301352509086,AVAL,98,1,SAAVL,"['AVAL', 'SMDDR', 'RIMR']"
19,4338988,4507518,0.0924142448976177,0.06768158293251332,AVAL,98,1,ASHL,"['AVDR', 'AVAL']"
20,4338987,4507517,0.09149636473852345,0.06768158293251332,AVAL,98,1,ASHL,"['AVDR', 'AVAL']"
21,4338975,4507516,0.09038446867634249,0.06768158293251332,AVAL,98,1,ASHL,"['AVBL', 'AVAL']"
22,4339189,4507422,0.0,0.6880438858042265,AVAL,98,1,AIBL,"['RIMR', 'AVAL']"
23,4339188,4507421,0.0,0.68674739380505,AVAL,98,1,AIBL,"['AVBL', 'RIMR', 'AVAL']"
24,4339187,4507420,0.0,0.6849008271316267,AVAL,98,1,AIBL,"['AVBL', 'RIMR', 'AVAL']"
25,4339186,4507419,0.0,0.6827329628763397,AVAL,98,1,AIBL,"['AVBL', 'RIMR', 'AVAL']"
26,4339185,4507418,0.0,0.6806098676021732,AVAL,98,1,AIBL,"['AVBL', 'RIMR', 'AVAL']"
27,4339242,4507033,0.0,0.8602844546442029,AVAL,98,1,FLPR,"['AVAL', 'ADER']"
28,4340254,4506503,0.0019688427137555826,0.8433110759943369,AVAL,98,1,DVC,"['AIBL', 'AVAL']"
29,4339235,4506502,0.0,0.8433110759943369,AVAL,98,1,DVC,"['AIBL', 'AVAL']"
30,4339236,4506501,0.0,0.8439095179731965,AVAL,98,1,DVC,"['AIBL', 'AVAL']"
31,4339237,4506500,0.0,0.8447900112021891,AVAL,98,1,DVC,"['AIBL', 'AVAL']"
32,4338985,4505867,0.10912796947267021,0.06768158293251332,AVAL,98,1,PVCR,['AVAL']
33,4339043,4505645,0.0,0.26355473652915284,AVAL,98,1,RICR,"['AVAL', 'RMHL']"
34,4339042,4505644,0.0,0.26091611544663873,AVAL,98,1,RICR,"['ADAL', 'AVAL', 'RMHL']"
35,4340260,4505033,0.009060116818389937,0.6603142289901297,AVAL,98,1,SAAVL,"['AVAL', 'RIMR']"
36,4340264,4505026,0.014591780197882064,0.6603142289901297,AVAL,98,1,SAAVL,"['RIMR', 'AVAL']"
37,4340263,4505025,0.012793399684978451,0.6603142289901297,AVAL,98,1,SAAVL,"['RIML', 'RIMR', 'AVAL']"
38,4340262,4505024,0.011671674516156241,0.6603142289901297,AVAL,98,1,SAAVL,"['RIML', 'AVAL', 'RIMR']"
