,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4507198,0.0,0.7968971520954791,AVEL,98,1,URYVR,"['RIBR', 'AVEL', 'SMDVL']"
1,4508533,0.007424919302227222,0.8294314044744132,AVEL,98,1,OLLR,"['AVEL', 'SMDVL', 'CEPVR']"
2,5235768,0.0,0.5338710554550719,AVEL,98,1,OLLR,"['SMDDL', 'AVEL']"
3,4508961,0.0,0.6594830283381004,AVEL,98,1,OLLR,['AVEL']
4,4508960,0.0,0.6594830283381004,AVEL,98,1,OLLR,['AVEL']
5,4508959,0.0016175925062112725,0.6594830283381004,AVEL,98,1,OLLR,['AVEL']
6,4508958,0.0,0.6594830283381004,AVEL,98,1,OLLR,['AVEL']
7,4508950,0.0,0.64171550468978,AVEL,98,1,OLLR,"['AVEL', 'RIBR']"
8,4508949,0.0,0.6405662960887423,AVEL,98,1,OLLR,['AVEL']
9,4508940,0.0,0.7779197214711232,AVEL,98,1,OLLR,"['CEPVR', 'RMDDR', 'AVEL']"
10,4508817,0.0,0.8837775450803979,AVEL,98,1,ADAR,"['RIMR', 'AVEL']"
11,4508816,0.0,0.8822695965948614,AVEL,98,1,ADAR,"['RIMR', 'AVEL']"
12,4508815,0.0,0.8797443088340917,AVEL,98,1,ADAR,"['AVEL', 'RIMR']"
13,4508814,0.0,0.8779797127506825,AVEL,98,1,ADAR,"['RIMR', 'AVEL']"
14,4508813,0.0,0.8763967869642032,AVEL,98,1,ADAR,"['RIMR', 'AVEL']"
15,4508810,0.0,0.9344457758417718,AVEL,98,1,PVCR,"['FLPL', 'AVEL']"
16,4508756,0.0,0.811100802614539,AVEL,98,1,OLLR,"['SMDVL', 'AVEL']"
17,4508755,0.0,0.8101208095606199,AVEL,98,1,OLLR,"['SMDVL', 'AVEL']"
18,4508754,0.0,0.8083124717001123,AVEL,98,1,OLLR,"['SMDVL', 'AVEL']"
19,4508753,0.0,0.8073252013700999,AVEL,98,1,OLLR,"['SMDVL', 'AVEL']"
20,4508746,0.0,0.5825474740869908,AVEL,98,1,OLLR,"['RMDVR', 'AVEL']"
21,4508673,0.0,0.34716960678948944,AVEL,98,1,AUAL,"['RIBL', 'AVEL']"
22,4508672,0.0,0.3534953718858516,AVEL,98,1,AUAL,"['RIBL', 'AVEL']"
23,4508671,0.0,0.3577768264504231,AVEL,98,1,AUAL,"['RIBL', 'AVEL']"
24,4508670,0.0,0.3599407648210879,AVEL,98,1,AUAL,"['RIBL', 'AVEL']"
25,4508593,0.0,0.963750801679756,AVEL,98,1,PVCL,"['AVEL', 'RIS', 'SIAVR']"
26,4508404,0.016162612010614516,0.8294314044744132,AVEL,98,1,OLLR,"['CEPVR', 'SMDVL', 'AVEL']"
27,4508263,0.015346566904399325,0.8294314044744132,AVEL,98,1,OLLR,"['AVEL', 'RMDDR']"
28,4508262,0.016162612010614516,0.8294314044744132,AVEL,98,1,OLLR,"['AVEL', 'RMDDR']"
29,4508261,0.018629760473995494,0.8294314044744132,AVEL,98,1,OLLR,"['AVEL', 'RMDDR']"
30,4508260,0.0,0.09017723711383668,AVEL,98,1,URXL,"['RMGL', 'AVEL']"
31,4508259,0.0,0.08903636377133063,AVEL,98,1,URXL,"['AVEL', 'RMGL']"
