,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4426776,4508184,0.0,0.28986005517211383,AVHL,98,1,AVHR,"['AVHL', 'AWBL']"
1,4426775,4508183,0.0,0.28762024413068343,AVHL,98,1,AVHR,"['AVHL', 'AWBL']"
2,4426907,4508154,0.0,0.6891641511768614,AVHL,98,0,AVHL,"['PVPR', 'RIR']"
3,4426906,4508153,0.0,0.6850017522038123,AVHL,98,0,AVHL,"['RIR', 'PVPR']"
4,4426916,4508145,0.0,0.7418845265369604,AVHL,98,0,AVHL,"['AIZR', 'ADFR']"
5,4426915,4508144,0.0,0.7362802709840571,AVHL,98,0,AVHL,"['AIZR', 'ADFR']"
6,4428015,4508143,0.000608261042674815,0.7362802709840571,AVHL,98,0,AVHL,"['AIZR', 'ADFR']"
7,4426780,4508098,0.0,0.30616700440565986,AVHL,98,0,AVHL,"['ASHL', 'AWBL']"
8,4426781,4508097,0.0,0.30699928839177704,AVHL,98,0,AVHL,"['ASHL', 'AWBL']"
9,4426782,4508096,0.0,0.3101144565039964,AVHL,98,0,AVHL,"['ASHL', 'AWBL']"
10,4426783,4508095,0.0,0.31101176245479945,AVHL,98,0,AVHL,"['ASHL', 'AWBL']"
11,4426937,4504868,0.007058064069403709,0.8096843919540496,AVHL,98,0,AVHL,"['ADAR', 'AWBR']"
12,4426938,4504867,0.010144585745062806,0.8096843919540496,AVHL,98,0,AVHL,"['ADAR', 'ADFR', 'AWBR']"
13,4426835,4503372,0.0,0.4805651208941556,AVHL,98,1,AWBR,"['ADFR', 'AVHL', 'RIR']"
14,4428026,4503358,0.009168704477460973,0.7362802709840571,AVHL,98,1,AWBR,"['AVHL', 'AIZR']"
15,4428027,4503357,0.014798349966106284,0.7362802709840571,AVHL,98,1,AWBR,"['AVHL', 'AIZR']"
16,4426930,4503349,0.0,0.7965149611542088,AVHL,98,1,AWBR,"['AVHL', 'SMBVR']"
17,4426931,4503348,0.0,0.8028151462339878,AVHL,98,1,AWBR,"['AVHL', 'SMBVR']"
18,4426932,4503347,0.0,0.8039831380573667,AVHL,98,1,AWBR,['AVHL']
19,4426933,4503346,0.0,0.8051511298807457,AVHL,98,1,AWBR,"['AVHL', 'ADFR']"
20,4428024,4502742,0.03838996094149489,0.7362802709840571,AVHL,98,0,AVHL,['AWBR']
21,4428023,4502741,0.03693938592049404,0.7362802709840571,AVHL,98,0,AVHL,['AWBR']
22,4426818,4498692,0.0,0.41329207683792535,AVHL,98,1,ASHR,"['AVHL', 'AVBR']"
23,4426819,4498691,0.0,0.41714747604193353,AVHL,98,1,ASHR,"['AVHL', 'AVBR']"
24,4426855,4497113,0.0,0.5327434700185998,AVHL,98,0,AVHL,['ASHR']
25,4426853,4497112,0.0,0.5288732259398371,AVHL,98,0,AVHL,"['RIFR', 'AWBR', 'ASHR']"
26,4426854,4497111,0.0,0.5304764451946704,AVHL,98,0,AVHL,"['ASHR', 'AWBR']"
