,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4260529,4509234,0.17505426528874413,0.3509580426278775,BWMDL04,98,1,RMDDR,"['BWMDL02', 'BWMDL04']"
1,4260528,4509233,0.16644604998242377,0.3509580426278775,BWMDL04,98,1,RMDDR,"['BWMDL02', 'BWMDL04']"
2,4260513,4508444,0.0,0.25607008139085985,BWMDL04,98,1,RMDDR,"['BWMDL04', 'BWMDL02', 'RMDVL']"
3,4260511,4508443,0.0,0.21550362176691204,BWMDL04,98,1,RMDDR,"['BWMDL02', 'BWMDL04', 'RMDVL']"
4,4260512,4508442,0.0,0.22764727068236532,BWMDL04,98,1,RMDDR,"['BWMDL04', 'RMDVL']"
5,4260548,4507779,0.0,0.8763584871367308,BWMDL04,98,1,RMGL,"['RMDL', 'BWMDL04', 'BWMDL06']"
6,4260525,4507762,0.23237539436966545,0.3509580426278775,BWMDL04,98,1,RMDDR,"['BWMDL02', 'BWMDL04']"
7,4260517,4507639,0.0,0.3509580426278775,BWMDL04,98,1,RMDDR,"['BWMDL04', 'BWMDL02', 'RMDVL']"
8,4260530,4507638,0.0,0.4063055479595311,BWMDL04,98,1,RMDDR,"['BWMDL04', 'BWMDL02', 'RMDVL']"
9,4260518,4507637,0.07616034543449707,0.3509580426278775,BWMDL04,98,1,RMDDR,"['BWMDL02', 'BWMDL04', 'RMDVL']"
10,4260519,4507636,0.11588429200225686,0.3509580426278775,BWMDL04,98,1,RMDDR,"['RMDVL', 'BWMDL02', 'BWMDL04']"
11,4260520,4507635,0.12890698760335556,0.3509580426278775,BWMDL04,98,1,RMDDR,"['RMDVL', 'BWMDL02', 'BWMDL04']"
12,4260547,4507025,0.0,0.8670022595086537,BWMDL04,98,1,RIMR,"['BWMDL06', 'BWMDL04', 'RMDL']"
13,4260512,4499653,0.0,0.22764727068236532,BWMDL04,98,1,URBL,"['CEPDL', 'RMDR', 'BWMDL04']"
14,4260507,4499128,0.0,0.158486862705772,BWMDL04,98,1,SMBDR,"['RMDDR', 'BWMDL04', 'BWMDL02']"
15,4260508,4499127,0.0,0.17796081527490548,BWMDL04,98,1,SMBDR,"['RMDDR', 'BWMDL04', 'BWMDL02']"
16,4260545,4497593,0.0,0.8409851956386151,BWMDL04,98,1,SMDDR,['BWMDL04']
17,4260501,4497462,0.0,0.059587297309044523,BWMDL04,98,1,URBL,"['BWMDL06', 'BWMDL04']"
18,4260514,4497207,0.0,0.25945387601166603,BWMDL04,98,1,RMDR,['BWMDL04']
