,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4509388,0.09548119472331924,0.3047467786328434,BWMVR04,98,1,RMDVL,"['RMDDR', 'BWMVR04']"
1,4509387,0.08988663485951415,0.3047467786328434,BWMVR04,98,1,RMDVL,"['BWMVR04', 'RMDDR', 'BWMVR02']"
2,4506847,0.0,0.8954635635544849,BWMVR04,98,1,RIML,"['BWMVR06', 'BWMVR04', 'RMDR']"
3,4503855,0.0,0.39011467115008636,BWMVR04,98,1,SMBVR,"['BWMVR04', 'BWMVR02']"
4,4503854,0.0,0.38173382675050377,BWMVR04,98,1,SMBVR,"['BWMVR04', 'BWMVR02']"
5,4503853,0.0,0.35348454945705776,BWMVR04,98,1,SMBVR,"['BWMVR04', 'BWMVR02']"
6,4501528,0.09548119472331924,0.3047467786328434,BWMVR04,98,1,IL1R,"['BWMVR02', 'BWMVR04']"
7,4501527,0.11733648640823377,0.3047467786328434,BWMVR04,98,1,IL1R,"['RMDDR', 'BWMVR02', 'BWMVR04']"
8,4501492,0.08988663485951415,0.3047467786328434,BWMVR04,98,1,IL1R,"['BWMVR04', 'BWMVR02', 'RMDDR']"
9,4497632,0.13560996858968608,0.2588034782551921,BWMVR04,98,1,URBR,"['CEPDR', 'BWMVR04', 'BWMDR04']"
