,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4508351,0.5780556775347989,0.0,RIH,98,0,RIH,"['OLQDR', 'RIPR']"
1,4508350,0.5803824338404846,0.0,RIH,98,0,RIH,"['OLQDR', 'RIPR']"
2,4508349,0.5845970057457482,0.0,RIH,98,0,RIH,"['OLQDR', 'RIPR']"
3,4508348,0.5880323501327221,0.0,RIH,98,0,RIH,"['OLQDR', 'RIPR']"
4,4507775,0.23487838058552665,0.0,RIH,98,1,IL2R,"['RIH', 'OLQVR']"
5,4507774,0.23187035288499408,0.0,RIH,98,1,IL2R,"['OLQVR', 'OLQDR', 'RIH']"
6,4507773,0.2291507546791544,0.0,RIH,98,1,IL2R,"['OLQDR', 'OLQVR', 'RIH']"
7,4507772,0.22395326419604225,0.0,RIH,98,1,IL2R,"['OLQVR', 'RIH', 'OLQDR']"
8,4507771,0.21148000994287017,0.0,RIH,98,1,IL2R,"['OLQDR', 'RIH']"
9,4507770,0.20885310881655866,0.0,RIH,98,1,IL2R,"['OLQDR', 'RIH']"
10,4507013,0.044404934607535265,0.7938230034424107,RIH,98,0,RIH,"['GLRDL', 'IL2DL']"
11,4507012,0.03682588575214376,0.7938230034424107,RIH,98,0,RIH,"['GLRDL', 'IL2DL']"
12,4507011,0.03511549239517493,0.7938230034424107,RIH,98,0,RIH,"['GLRDL', 'IL2DL']"
13,4507010,0.033889106190127444,0.7938230034424107,RIH,98,0,RIH,['GLRDL']
14,4507009,0.0,0.8025762392331145,RIH,98,0,RIH,"['GLRDL', 'IL2DL']"
15,4504340,0.0,0.7691023399210328,RIH,98,0,RIH,['OLQDL']
16,4504339,0.0,0.7669214157801755,RIH,98,0,RIH,['OLQDL']
17,4503385,0.443760551125859,0.0,RIH,98,0,RIH,"['RMED', 'GLRDR', 'IL2DR']"
18,4503384,0.43710538441912455,0.0,RIH,98,0,RIH,"['GLRDR', 'IL2DR']"
19,4503383,0.432637129203429,0.0,RIH,98,0,RIH,"['GLRDR', 'IL2DR']"
20,4503375,0.2932114129288886,0.0,RIH,98,0,RIH,"['CEPshDR', 'RIPR']"
