,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,5067202,0.3025906040163128,0.0075950225309832095,RIPR,98,1,IL1VR,"['RMDDR', 'BWMVR02', 'RIPR']"
1,5067198,0.3165531070099016,0.0075950225309832095,RIPR,98,1,IL1VR,"['RMDDR', 'BWMVR01', 'RIPR']"
2,4508957,0.5103227784521892,0.0075950225309832095,RIPR,98,1,ADAR,['RIPR']
3,4508956,0.6316505946118586,0.0075950225309832095,RIPR,98,1,ADAR,"['AVBR', 'RIPR']"
4,4508955,0.6271334191566444,0.0075950225309832095,RIPR,98,1,ADAR,"['AVBR', 'RIPR']"
5,4508954,0.6229270385001276,0.0075950225309832095,RIPR,98,1,ADAR,"['OLQVR', 'AVBR', 'RIPR']"
6,4508351,0.0,0.5670830157088889,RIPR,98,1,RIH,"['OLQDR', 'RIPR']"
7,4508350,0.0,0.5708011440970551,RIPR,98,1,RIH,"['OLQDR', 'RIPR']"
8,4508349,0.0,0.5790022671236159,RIPR,98,1,RIH,"['OLQDR', 'RIPR']"
9,4508348,0.0,0.5880248876448808,RIPR,98,1,RIH,"['OLQDR', 'RIPR']"
10,4507507,0.32495326996118246,0.0075950225309832095,RIPR,98,1,URAVR,"['BWMVR01', 'RIPR']"
11,4507506,0.2894465400727125,0.0075950225309832095,RIPR,98,1,URAVR,"['RIPR', 'BWMVR02']"
12,4507505,0.2978239782291217,0.0075950225309832095,RIPR,98,1,URAVR,"['RIPR', 'BWMVR02']"
13,4507486,0.2459104323431753,0.0075950225309832095,RIPR,98,1,URAVR,"['RIPR', 'BWMVR02']"
14,4507485,0.23754058282939922,0.0075950225309832095,RIPR,98,1,URAVR,"['RIPR', 'BWMVR02']"
15,4507360,0.2569596912880102,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR01', 'BWMDR02', 'RIPR']"
16,4507359,0.2515593730722832,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR02', 'RIPR']"
17,4507355,0.212284751338372,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR02', 'BWMDR01', 'RIPR']"
18,4507354,0.20244750828067493,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR02', 'BWMDR01', 'RIPR']"
19,4507353,0.19626482265855963,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR02', 'BWMDR01', 'RIPR']"
20,4507352,0.18923262438858754,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR01', 'BWMDR02', 'RIPR']"
21,4507351,0.20070905042251727,0.1431895438302268,RIPR,98,1,URADR,"['BWMDR01', 'RIPR']"
22,4506584,0.32784798466761395,0.1431895438302268,RIPR,98,1,PVR,"['AVBR', 'RIPR', 'AVJL']"
23,4506583,0.32002761778369915,0.1431895438302268,RIPR,98,1,PVR,"['RIPR', 'AVBL', 'AVJL']"
