,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4323540,5067206,0.0,0.9540052461595773,URYVL,98,0,URYVL,"['RMDVR', 'RMDDL']"
1,4323467,4508312,0.0,0.6984998397750428,URYVL,98,0,URYVL,"['AVER', 'RMDDL']"
2,4323496,4508311,0.0,0.6997888337369303,URYVL,98,0,URYVL,"['RMDDL', 'AVER']"
3,4323497,4508310,0.0,0.7015647491583079,URYVL,98,0,URYVL,"['RMDDL', 'AVER']"
4,4323504,4507882,0.0,0.8283819351275306,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
5,4323503,4507881,0.0,0.8127672477929462,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
6,4323502,4507880,0.0,0.804029988054047,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
7,4323501,4507879,0.0,0.7943195338602032,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
8,4323500,4507878,0.0,0.7734908996602552,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
9,4323499,4507877,0.0,0.720847558014717,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
10,4323498,4507876,0.0,0.7032022141817573,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
11,4323497,4507875,0.0,0.7015647491583079,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
12,4323496,4507874,0.0,0.6997888337369303,URYVL,98,0,URYVL,"['SMDVR', 'AVER']"
13,4323467,4507873,0.0,0.6984998397750428,URYVL,98,0,URYVL,['SMDVR']
14,4323468,4507872,0.006504895719580416,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
15,4323469,4507871,0.017147541998853696,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
16,4323470,4507870,0.029323217591779416,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
17,4323471,4507869,0.033741947740875154,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
18,4323472,4507868,0.035986772130484415,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
19,4323473,4507867,0.040212727185803654,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
20,4323474,4507866,0.04995387027636456,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
21,4323475,4507865,0.05175205509961237,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
22,4323476,4507864,0.057524615110447076,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
23,4323477,4507863,0.06406763620466019,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
24,4323478,4507862,0.06583231154209492,0.6984998397750428,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
25,4323407,4507158,0.0,0.19223358556876946,URYVL,98,1,RIGL,"['RIR', 'AVHR', 'OLQVL', 'URYVL']"
26,4323513,4507087,0.0,0.8598812584634645,URYVL,98,0,URYVL,"['AVER', 'RMDDL']"
27,4323509,4507072,0.0,0.8456652650635413,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
28,4323508,4507071,0.0,0.8441119894679043,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
29,4323507,4507070,0.0,0.8417170623409197,URYVL,98,0,URYVL,"['SMDVR', 'RIBL', 'AVER']"
30,4323506,4507069,0.0,0.8335876635431135,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
31,4323505,4507068,0.0,0.8300717284740277,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
32,4323504,4507067,0.0,0.8283819351275306,URYVL,98,0,URYVL,"['SMDVR', 'RIBL']"
33,4323455,4502803,0.0,0.5237815866203165,URYVL,98,1,RIGL,"['AVER', 'RIR', 'URYVL']"
34,4323452,4502796,0.0,0.5081399023823814,URYVL,98,1,RIGL,"['AVER', 'URYVL']"
35,4323451,4502795,0.0,0.5070813556170612,URYVL,98,1,RIGL,"['AVER', 'URYVL']"
36,4323546,4500045,0.0,0.9777618764470817,URYVL,98,1,CEPVL,"['OLLL', 'URYVL']"
