,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4502572,0.009174180878586817,0.4243633791360607,URYVR,98,1,PVR,"['URYVR', 'IL1VR', 'CEPVR', 'RIPR']"
1,4502216,0.0,0.20343727154917116,URYVR,98,1,RIBR,"['URYVR', 'OLQVR']"
2,4503137,0.0,0.20343727154917116,URYVR,98,1,AUAR,"['URYVR', 'RIBR']"
3,4507221,0.0,0.7033516637326421,URYVR,98,0,URYVR,['SMDVL']
4,4507220,0.0,0.701311840862984,URYVR,98,0,URYVR,"['RIBR', 'SMDVL']"
5,4507203,0.0,0.7215347759730361,URYVR,98,0,URYVR,['SMDVL']
6,4507202,0.0,0.7258969632389446,URYVR,98,0,URYVR,['SMDVL']
7,4507201,0.0,0.7275450629828869,URYVR,98,0,URYVR,['SMDVL']
8,4507200,0.0,0.730148771036649,URYVR,98,0,URYVR,"['SMDVL', 'AVEL']"
9,4507199,0.0,0.7332192450523053,URYVR,98,0,URYVR,"['SMDVL', 'AVEL']"
10,4507198,0.0,0.7407543324053871,URYVR,98,0,URYVR,"['RIBR', 'AVEL', 'SMDVL']"
11,4507164,0.0,0.7701837653953619,URYVR,98,0,URYVR,['AVEL']
12,4507163,0.0,0.7732932001955178,URYVR,98,0,URYVR,"['AVEL', 'RMDDR']"
13,4507162,0.0,0.9540319634941627,URYVR,98,0,URYVR,['RMDVL']
14,4507161,0.0,0.9484581512868102,URYVR,98,0,URYVR,['RMDVL']
15,4507160,0.0,0.9386409543368546,URYVR,98,0,URYVR,['RMDVL']
16,4507159,0.0,0.9345309899033822,URYVR,98,0,URYVR,"['RMDDR', 'RMDVL']"
17,4507156,0.0,0.9345309899033822,URYVR,98,0,URYVR,"['RMDDR', 'RMDVL']"
18,4507155,0.0,0.9386409543368546,URYVR,98,0,URYVR,['RMDVL']
19,4507154,0.0,0.9484581512868102,URYVR,98,0,URYVR,['RMDVL']
20,4507112,0.011594598373377453,0.5521886347758983,URYVR,98,1,DVA,"['URYVR', 'AVEL']"
21,4507111,0.01930147580254553,0.5521886347758983,URYVR,98,1,DVA,"['URYVR', 'AVEL']"
22,4507109,0.02445433227309287,0.5521886347758983,URYVR,98,1,DVA,"['URYVR', 'AVEL']"
23,4505727,0.02445433227309287,0.5521886347758983,URYVR,98,1,RIGR,"['AVEL', 'URYVR', 'RIR']"
24,4504473,0.0,0.7332192450523053,URYVR,98,1,RIBR,"['URYVR', 'SMDVL']"
25,4504472,0.0,0.7407543324053871,URYVR,98,1,RIBR,"['URYVR', 'SMDVL']"
26,4502217,0.0,0.19755541573136465,URYVR,98,1,RIBR,"['OLQVR', 'URYVR']"
27,4497031,0.0,0.6890354596590478,URYVR,98,0,URYVR,"['RIBR', 'CEPshVR', 'AVEL']"
